"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length"
"CH","2024-09-25","83.5","1.97","6.03","Sánchez, Cristopher",682634,650911,,"called_strike",,,,,8,"Kevin Alcántara strikes out swinging.","R","R","L","PHI","CHC","S",,,0,0,2024,"1.49","0","0.25","2.11",,,,0,5,"Top",,,,,592663,,,-6.998974531162347,-121.44217118708372,-2.60248901112412,16.127647134449575,24.115649790920237,-31.820851216429705,"3.7","1.74",,,,"84.5",1787,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.5",,,,,,,,38,1,"Changeup",5,3,3,5,3,5,3,5,"Standard","Standard",104,"0","-0.033",,
"CH","2024-09-25","85.7","2.11","6.12","Sánchez, Cristopher",665804,650911,"field_out","hit_into_play",,,,,6,"Miguel Amaya pops out to shortstop Trea Turner.","R","R","L","PHI","CHC","X",6,"popup",1,2,2024,"1.8","0.22","0.34","2.22",,,,2,4,"Top",121.69,139.04,,,592663,,,-7.902669460247823,-124.5807235014421,-3.426000813011825,20.290358786912776,24.906969401768364,-29.343738659429675,"3.4","1.62",154,"67.4",58,"86.6",2002,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.58",0.009,0.008,"0",1,0,0,3,32,4,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",106,"0.013","-0.069","74.41974","8.17605"
"CH","2024-09-25","84.2","2.19","6.04","Sánchez, Cristopher",665804,650911,,"foul",,,,,12,"Miguel Amaya pops out to shortstop Trea Turner.","R","R","L","PHI","CHC","S",,,1,1,2024,"1.46","0.03","1.11","2.86",,,,2,4,"Top",,,,,592663,,,-5.483718827602536,-122.55057885838355,-1.0847136867108123,15.820429906860987,23.561757807112116,-31.869812628895446,"3.4","1.62",4,"66",-32,"85.2",1826,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.64",,,,,,,,32,3,"Changeup",4,3,3,4,3,4,3,4,"Standard","Standard",104,"0","-0.025","74.50326","7.80681"
"SI","2024-09-25","93.5","2.04","6.15","Sánchez, Cristopher",665804,650911,,"swinging_strike",,,,,12,"Miguel Amaya pops out to shortstop Trea Turner.","R","R","L","PHI","CHC","S",,,1,0,2024,"1.68","0.48","1.29","2.59",,,,2,4,"Top",,,,,592663,,,-5.722536474505202,-136.0383336013727,-4.517890904326375,22.120006199335347,30.507403116930874,-25.42734662616449,"3.4","1.62",,,,"94.5",2031,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.59",,,,,,,,32,2,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",125,"0","-0.02","74.99694","6.94681"
"SL","2024-09-25","83.3","2.04","6.17","Sánchez, Cristopher",665804,650911,,"ball",,,,,12,"Miguel Amaya pops out to shortstop Trea Turner.","R","R","L","PHI","CHC","B",,,0,0,2024,"-0.11","-0.24","1.74","3.96",,,,2,4,"Top",,,,,592663,,,-0.4748769541086795,-121.31383871270462,1.8468792145477975,-1.0022922248852228,23.156181152529765,-35.08048047583921,"3.43","1.65",,,,"84.1",1897,"6.7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.78",,,,,,,,32,1,"Slider",4,3,3,4,3,4,3,4,"Standard","Standard",310,"0","0.015",,
"SI","2024-09-25","94.6","2.04","6.16","Sánchez, Cristopher",691718,650911,"field_out","hit_into_play",,,,,9,"Pete Crow-Armstrong grounds out to first baseman Bryce Harper.","R","L","L","PHI","CHC","X",3,"ground_ball",1,1,2024,"1.59","0.4","0.41","1.85",,,,1,4,"Top",152.62,170.08,,,592663,,,-7.898496788980049,-137.33287948545714,-6.455387475161141,21.85690667202963,32.20229047359178,-25.749563023860237,"3.34","1.53",2,"73.3",-39,"95.3",1995,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.54",0.094,0.116,"0",1,0,0,2,31,3,"Sinker",4,3,3,4,3,4,3,4,"Standard","Standard",122,"0.02","-0.154","71.47643","7.05833"
"SL","2024-09-25","83.9","2.04","6.23","Sánchez, Cristopher",691718,650911,,"swinging_strike",,,,,4,"Pete Crow-Armstrong grounds out to first baseman Bryce Harper.","R","L","L","PHI","CHC","S",,,1,0,2024,"-0.14","-0.23","-0.43","2.71",,,,1,4,"Top",,,,,592663,,,-5.486990851783117,-122.14028347789882,-1.2699519629136908,-0.3092133173532201,24.984307245489383,-34.407611417890436,"3.34","1.53",,,,"84.6",2150,"6.8",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.68",,,,,,,,31,2,"Slider",4,3,3,4,3,4,3,4,"Standard","Standard",317,"0","-0.032","67.08569","6.81158"
"SL","2024-09-25","84.4","1.92","6.2","Sánchez, Cristopher",691718,650911,,"ball",,,,,13,"Pete Crow-Armstrong grounds out to first baseman Bryce Harper.","R","L","L","PHI","CHC","B",,,0,0,2024,"-0.06","-0.1","-2.23","1.47",,,,1,4,"Top",,,,,592663,,,-9.624795701142546,-122.52703738029587,-4.425257241779207,1.4338281468111638,25.488549211934966,-32.402007108135145,"3.39","1.58",,,,"85",2043,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.56",,,,,,,,31,1,"Slider",4,3,3,4,3,4,3,4,"Standard","Standard",318,"0","0.025",,
"SI","2024-09-25","96.1","1.87","6.17","Sánchez, Cristopher",663538,650911,"home_run","hit_into_play",,,,,7,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","X",,"fly_ball",3,2,2024,"1.74","0.22","-0.57","2.03",,670623,641355,1,4,"Top",40.19,88.49,,,592663,,,-10.513771127394499,-139.49266157163544,-5.933457852111581,25.011604579579807,30.288171394599768,-28.134600736423963,"3.27","1.58",345,"93.8",35,"97.4",2068,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.4",0.08,0.129,"2",1,0,3,3,30,8,"Sinker",4,0,0,4,3,4,3,4,"Standard","Standard",126,"-0.197","2.226","69.15314","7.82845"
"SI","2024-09-25","96.3","1.94","6.14","Sánchez, Cristopher",663538,650911,,"foul",,,,,6,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","S",,,3,2,2024,"1.76","0.61","0.44","2.3",,670623,641355,1,4,"Top",,,,,592663,,,-8.06669902999582,-139.9767521852347,-6.0582235616488225,24.93143987565449,31.540220746950027,-22.929925073996714,"3.27","1.58",293,"93",22,"97.3",2100,"6.9",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.59",,,,,,,,30,7,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",120,"0","0","68.15769","6.15286"
"SI","2024-09-25","95.8","1.94","6.09","Sánchez, Cristopher",663538,650911,,"ball",,,,,7,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","B",,,2,2,2024,"1.74","0.58","-0.41","1.55",,670623,641355,1,4,"Top",,,,,592663,,,-10.263821586700859,-138.97320317279792,-7.7644071184584895,24.805429093818308,30.668140201841645,-23.002880099658483,"3.23","1.58",,,,"96.9",2113,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.45",,,,,,,,30,6,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",124,"0","0.168",,
"SL","2024-09-25","84.8","1.86","6.11","Sánchez, Cristopher",663538,650911,,"foul",,,,,7,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","S",,,2,2,2024,"0.18","-0.14","-0.42","1.52",,670623,641355,1,4,"Top",,,,,592663,,,-5.770836382562977,-123.48101333079957,-4.210363627749474,2.988375227958482,23.34312224950809,-33.006321519189115,"3.27","1.58",3,"63.6",-24,"86.1",2007,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.54",,,,,,,,30,5,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",319,"0","0","62.69464","8.18217"
"CH","2024-09-25","85.6","2.15","6.02","Sánchez, Cristopher",663538,650911,,"ball",,,,,14,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","B",,,1,2,2024,"1.43","-0.14","2.15","1.32",,670623,641355,1,4,"Top",,,,,592663,,,-2.9396030543639746,-124.6686223340699,-4.614414780532265,15.556243895432475,23.820558411239784,-32.96862994707021,"3.31","1.53",,,,"87.1",1753,"7.1",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.43",,,,,,,,30,4,"Changeup",4,0,0,4,0,4,0,4,"Standard","Standard",103,"0","0.068",,
"SL","2024-09-25","84.4","1.98","6.13","Sánchez, Cristopher",663538,650911,,"foul",,,,,9,"Nico Hoerner homers (6) on a fly ball to left field.   Isaac Paredes scores.    Cody Bellinger scores.","R","R","L","PHI","CHC","S",,,1,1,2024,"-0.21","-0.41","0.32","1.55",,670623,641355,1,4,"Top",,,,,592663,,,-3.494162417087715,-122.94957393929558,-3.5190778348632215,-1.3766852523243456,24.957004861788803,-35.82460712938238,"3.27","1.58",13,"73.4",-6,"85.5",2057,"7",745521,650911,592663,547180,681082,665019,607208,669720,669016,592206,"53.51",,,,,,,,30,3,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",308,"0","-0.078","71.44556","8.20591"
